id,referencia,marca,capacidad,ciudad,responsable
9053,ACH01,Sony,1755,Sabaneta,Camila Builes
3102,ACH22,Kalley,1799,Envigado,Yiyo Builes
3831,ACH22,Haceb,271,Barbosa,Dante Builes
3467,ACH01,Haceb,113,Sabaneta,Gandalf Toro
2269,ACH43,Kalley,703,Itagui,Dante Builes
3952,ACH22,Kalley,574,Medellín,Camila Builes
630,ACH43,Sony,308,Sabaneta,Camila Builes
5103,ACH01,Kalley,1554,Itagui,Camila Builes
5126,ACH43,Kalley,1724,Sabaneta,Gandalf Toro
2715,ACH01,Haceb,1758,Sabaneta,Gandalf Toro
3725,ACH43,Sony,893,Itagui,Dante Builes
7591,ACH43,Kalley,514,Medellín,Dante Builes
8095,ACH01,Haceb,1973,Itagui,Dante Builes
1110,ACH43,Kalley,221,Barbosa,Camila Builes
1847,ACH22,Sony,183,Envigado,Dante Builes
535,ACH43,Kalley,361,Medellín,Dante Builes
9463,ACH22,Haceb,645,Itagui,Dante Builes
1819,ACH43,Kalley,364,Barbosa,Gandalf Toro
2805,ACH01,Sony,860,Itagui,Gandalf Toro
679,ACH22,Haceb,553,Itagui,Dante Builes
4086,ACH43,Kalley,1761,Itagui,Dante Builes
6984,ACH01,Kalley,238,Itagui,Laura Toro
9827,ACH22,Haceb,1047,Itagui,Camila Builes
1044,ACH22,Kalley,570,Sabaneta,Gandalf Toro
1714,ACH43,Kalley,962,Envigado,Laura Toro
6194,ACH43,Kalley,1325,Sabaneta,Camila Builes
7795,ACH22,Sony,849,Barbosa,Laura Toro
5456,ACH43,Sony,1685,Sabaneta,Camila Builes
4482,ACH01,Sony,1289,Itagui,Laura Toro
3404,ACH43,Kalley,1241,Barbosa,Gandalf Toro
3597,ACH22,Haceb,1370,Medellín,Gandalf Toro
2017,ACH43,Haceb,380,Itagui,Dante Builes
3987,ACH01,Sony,692,Sabaneta,Camila Builes
6338,ACH43,Haceb,777,Envigado,Yiyo Builes
1764,ACH22,Haceb,1718,Itagui,Laura Toro
6715,ACH43,Kalley,1576,Barbosa,Laura Toro
2333,ACH01,Sony,253,Barbosa,Dante Builes
8556,ACH01,Sony,1040,Barbosa,Gandalf Toro
2457,ACH22,Kalley,701,Medellín,Laura Toro
1615,ACH22,Sony,881,Medellín,Laura Toro
7575,ACH01,Haceb,1700,Itagui,Laura Toro
6639,ACH22,Kalley,659,Barbosa,Yiyo Builes
6836,ACH01,Haceb,292,Envigado,Yiyo Builes
9707,ACH01,Haceb,1910,Medellín,Camila Builes
2817,ACH01,Kalley,1680,Itagui,Camila Builes
2648,ACH43,Sony,452,Envigado,Laura Toro
4911,ACH01,Kalley,1364,Sabaneta,Dante Builes
1824,ACH01,Kalley,1740,Itagui,Gandalf Toro
2162,ACH22,Sony,1976,Medellín,Laura Toro
7928,ACH43,Haceb,1936,Medellín,Gandalf Toro
3943,ACH43,Haceb,1740,Itagui,Camila Builes
8190,ACH22,Kalley,1118,Itagui,Dante Builes
6793,ACH01,Haceb,241,Sabaneta,Laura Toro
9248,ACH22,Sony,1658,Sabaneta,Camila Builes
2923,ACH43,Sony,1983,Itagui,Yiyo Builes
8365,ACH01,Sony,897,Itagui,Yiyo Builes
9200,ACH22,Haceb,544,Medellín,Gandalf Toro
3607,ACH01,Kalley,145,Sabaneta,Yiyo Builes
2859,ACH22,Sony,854,Sabaneta,Gandalf Toro
9574,ACH22,Haceb,1426,Envigado,Gandalf Toro
3621,ACH43,Sony,991,Medellín,Yiyo Builes
6774,ACH01,Kalley,219,Barbosa,Dante Builes
5407,ACH01,Kalley,1021,Sabaneta,Yiyo Builes
7575,ACH22,Sony,417,Sabaneta,Yiyo Builes
4442,ACH43,Sony,1358,Barbosa,Yiyo Builes
6857,ACH43,Kalley,946,Envigado,Camila Builes
7390,ACH43,Sony,1080,Envigado,Dante Builes
3800,ACH43,Haceb,1585,Itagui,Yiyo Builes
6864,ACH01,Kalley,316,Sabaneta,Dante Builes
6806,ACH01,Kalley,1357,Medellín,Gandalf Toro
817,ACH22,Sony,1616,Barbosa,Camila Builes
927,ACH01,Haceb,1566,Sabaneta,Laura Toro
8631,ACH43,Kalley,1094,Envigado,Yiyo Builes
6659,ACH22,Sony,362,Barbosa,Gandalf Toro
329,ACH01,Haceb,1375,Medellín,Camila Builes
1369,ACH43,Haceb,1190,Sabaneta,Gandalf Toro
1458,ACH22,Kalley,177,Itagui,Camila Builes
1853,ACH22,Kalley,431,Barbosa,Gandalf Toro
5999,ACH22,Sony,1738,Itagui,Dante Builes
6930,ACH01,Haceb,1374,Itagui,Yiyo Builes
7775,ACH43,Kalley,1525,Envigado,Camila Builes
8312,ACH01,Kalley,654,Envigado,Dante Builes
1446,ACH22,Haceb,198,Sabaneta,Dante Builes
6474,ACH01,Haceb,508,Sabaneta,Laura Toro
295,ACH01,Sony,1119,Medellín,Laura Toro
8866,ACH01,Haceb,741,Medellín,Laura Toro
2387,ACH22,Kalley,715,Itagui,Yiyo Builes
2731,ACH01,Haceb,356,Sabaneta,Laura Toro
4222,ACH43,Sony,1630,Sabaneta,Laura Toro
9011,ACH43,Sony,457,Envigado,Camila Builes
6229,ACH22,Kalley,810,Itagui,Laura Toro
8695,ACH01,Haceb,923,Medellín,Laura Toro
505,ACH43,Kalley,430,Barbosa,Laura Toro
5558,ACH01,Sony,535,Envigado,Dante Builes
4921,ACH43,Kalley,994,Sabaneta,Laura Toro
7888,ACH43,Haceb,344,Itagui,Laura Toro
3040,ACH01,Kalley,688,Sabaneta,Gandalf Toro
9896,ACH01,Kalley,1724,Envigado,Laura Toro
3248,ACH22,Sony,1675,Itagui,Yiyo Builes
3411,ACH01,Sony,1707,Medellín,Dante Builes
3936,ACH43,Sony,991,Sabaneta,Dante Builes
1506,ACH22,Kalley,916,Barbosa,Yiyo Builes
1906,ACH01,Kalley,424,Itagui,Yiyo Builes
366,ACH43,Haceb,1998,Medellín,Dante Builes
9254,ACH01,Haceb,1912,Medellín,Camila Builes
8803,ACH43,Kalley,1423,Itagui,Laura Toro
9830,ACH22,Haceb,473,Itagui,Laura Toro
1695,ACH43,Sony,1819,Envigado,Laura Toro
6601,ACH43,Kalley,1745,Itagui,Camila Builes
4625,ACH22,Haceb,438,Itagui,Laura Toro
3391,ACH43,Kalley,585,Medellín,Camila Builes
4940,ACH22,Sony,888,Itagui,Dante Builes
4596,ACH22,Haceb,336,Medellín,Camila Builes
6777,ACH01,Sony,1680,Envigado,Dante Builes
8201,ACH01,Kalley,1608,Itagui,Laura Toro
2495,ACH22,Sony,1095,Barbosa,Yiyo Builes
1959,ACH22,Haceb,1843,Envigado,Yiyo Builes
4280,ACH22,Haceb,827,Medellín,Yiyo Builes
7303,ACH01,Sony,846,Barbosa,Dante Builes
3570,ACH43,Sony,1688,Medellín,Gandalf Toro
8570,ACH43,Kalley,1738,Barbosa,Camila Builes
4092,ACH22,Kalley,1435,Medellín,Laura Toro
2395,ACH43,Sony,1976,Envigado,Gandalf Toro
261,ACH22,Kalley,386,Envigado,Dante Builes
9576,ACH01,Kalley,483,Itagui,Gandalf Toro
6264,ACH01,Haceb,1979,Medellín,Dante Builes
3182,ACH43,Kalley,1960,Barbosa,Camila Builes
287,ACH22,Sony,1996,Barbosa,Yiyo Builes
2206,ACH01,Kalley,729,Itagui,Gandalf Toro
1111,ACH22,Sony,968,Envigado,Camila Builes
9534,ACH22,Kalley,1346,Itagui,Dante Builes
6684,ACH22,Sony,1508,Itagui,Gandalf Toro
4623,ACH01,Haceb,188,Medellín,Gandalf Toro
4020,ACH22,Haceb,1979,Medellín,Camila Builes
6932,ACH01,Sony,1654,Barbosa,Yiyo Builes
8666,ACH01,Kalley,1893,Sabaneta,Gandalf Toro
6561,ACH43,Sony,341,Sabaneta,Dante Builes
3852,ACH01,Haceb,1431,Barbosa,Gandalf Toro
7344,ACH43,Sony,1394,Itagui,Laura Toro
5880,ACH01,Kalley,1000,Sabaneta,Laura Toro
3441,ACH43,Haceb,246,Barbosa,Dante Builes
1271,ACH01,Kalley,374,Barbosa,Gandalf Toro
6338,ACH22,Kalley,1560,Sabaneta,Laura Toro
2082,ACH43,Kalley,211,Itagui,Gandalf Toro
6124,ACH22,Sony,898,Envigado,Yiyo Builes
629,ACH22,Sony,1129,Medellín,Dante Builes
3797,ACH43,Sony,561,Medellín,Laura Toro
2035,ACH22,Sony,1179,Medellín,Camila Builes
2589,ACH01,Haceb,287,Medellín,Camila Builes
4273,ACH22,Kalley,1532,Itagui,Laura Toro
7336,ACH22,Haceb,1467,Itagui,Gandalf Toro
4815,ACH22,Haceb,1280,Envigado,Laura Toro
3216,ACH22,Sony,1521,Itagui,Camila Builes
9725,ACH01,Kalley,421,Barbosa,Dante Builes
5123,ACH43,Haceb,664,Medellín,Laura Toro
1163,ACH22,Haceb,879,Itagui,Yiyo Builes
7968,ACH01,Kalley,665,Barbosa,Yiyo Builes
310,ACH43,Sony,1578,Sabaneta,Laura Toro
8344,ACH43,Kalley,1534,Itagui,Gandalf Toro
586,ACH22,Kalley,593,Barbosa,Camila Builes
8359,ACH01,Kalley,927,Barbosa,Camila Builes
2313,ACH22,Sony,1689,Itagui,Dante Builes
2554,ACH43,Kalley,683,Medellín,Dante Builes
9693,ACH43,Kalley,658,Envigado,Yiyo Builes
4691,ACH01,Haceb,1456,Sabaneta,Laura Toro
9410,ACH22,Kalley,1049,Medellín,Yiyo Builes
5707,ACH43,Haceb,1070,Medellín,Camila Builes
1434,ACH01,Kalley,305,Medellín,Yiyo Builes
8592,ACH22,Sony,1566,Envigado,Dante Builes
1538,ACH43,Kalley,1473,Barbosa,Gandalf Toro
2314,ACH43,Sony,885,Envigado,Yiyo Builes
5321,ACH22,Haceb,1696,Itagui,Yiyo Builes
1273,ACH01,Sony,1393,Itagui,Gandalf Toro
5978,ACH01,Haceb,103,Barbosa,Gandalf Toro
5485,ACH22,Sony,1582,Barbosa,Dante Builes
1620,ACH22,Kalley,1673,Itagui,Gandalf Toro
267,ACH43,Haceb,1403,Barbosa,Laura Toro
6145,ACH22,Kalley,1713,Itagui,Camila Builes
8579,ACH22,Sony,1789,Itagui,Gandalf Toro
680,ACH01,Sony,1077,Medellín,Camila Builes
7863,ACH43,Kalley,520,Barbosa,Camila Builes
6308,ACH01,Kalley,1140,Barbosa,Yiyo Builes
6760,ACH22,Kalley,1864,Barbosa,Gandalf Toro
4328,ACH43,Kalley,507,Barbosa,Gandalf Toro
9268,ACH43,Sony,594,Sabaneta,Dante Builes
3772,ACH43,Kalley,304,Barbosa,Camila Builes
6674,ACH22,Haceb,1424,Medellín,Gandalf Toro
1992,ACH22,Haceb,1566,Sabaneta,Dante Builes
7892,ACH43,Haceb,1230,Envigado,Dante Builes
4134,ACH43,Haceb,1911,Envigado,Dante Builes
279,ACH43,Kalley,1287,Itagui,Laura Toro
2753,ACH22,Haceb,1088,Barbosa,Gandalf Toro
8197,ACH22,Kalley,1112,Envigado,Yiyo Builes
6828,ACH22,Kalley,1761,Medellín,Gandalf Toro
6158,ACH43,Kalley,700,Sabaneta,Gandalf Toro
7792,ACH43,Haceb,1020,Medellín,Dante Builes
5032,ACH01,Haceb,1127,Medellín,Dante Builes
2631,ACH01,Kalley,110,Envigado,Dante Builes
7148,ACH22,Haceb,498,Envigado,Yiyo Builes
9049,ACH22,Sony,473,Medellín,Camila Builes
7601,ACH43,Sony,642,Itagui,Yiyo Builes
4040,ACH43,Sony,1037,Sabaneta,Yiyo Builes
2084,ACH22,Sony,1902,Sabaneta,Camila Builes
9318,ACH43,Kalley,486,Medellín,Gandalf Toro
4954,ACH01,Haceb,1196,Medellín,Laura Toro
5531,ACH01,Kalley,1697,Barbosa,Laura Toro
3836,ACH01,Kalley,525,Medellín,Gandalf Toro
7138,ACH22,Kalley,838,Envigado,Gandalf Toro
2894,ACH43,Sony,1529,Sabaneta,Camila Builes
1849,ACH22,Haceb,208,Envigado,Camila Builes
2619,ACH01,Kalley,853,Itagui,Dante Builes
6768,ACH43,Sony,1139,Medellín,Laura Toro
8852,ACH22,Sony,1014,Envigado,Gandalf Toro
3178,ACH01,Kalley,1210,Barbosa,Laura Toro
2246,ACH01,Kalley,725,Itagui,Camila Builes
6942,ACH22,Sony,1994,Medellín,Yiyo Builes
9778,ACH43,Haceb,1591,Itagui,Dante Builes
8460,ACH43,Kalley,402,Itagui,Laura Toro
9176,ACH43,Haceb,261,Medellín,Gandalf Toro
3506,ACH01,Sony,654,Medellín,Camila Builes
3155,ACH01,Sony,1481,Sabaneta,Dante Builes
8595,ACH43,Sony,1971,Barbosa,Gandalf Toro
5561,ACH43,Haceb,1493,Itagui,Laura Toro
5677,ACH43,Haceb,734,Envigado,Laura Toro
3990,ACH01,Sony,1662,Itagui,Yiyo Builes
4435,ACH43,Sony,562,Sabaneta,Laura Toro
8013,ACH43,Kalley,405,Itagui,Laura Toro
8310,ACH43,Haceb,1046,Envigado,Laura Toro
8172,ACH43,Sony,392,Medellín,Yiyo Builes
2072,ACH22,Kalley,1890,Sabaneta,Gandalf Toro
8866,ACH43,Sony,1094,Envigado,Gandalf Toro
2408,ACH01,Kalley,995,Medellín,Yiyo Builes
9284,ACH22,Sony,387,Medellín,Gandalf Toro
9057,ACH01,Sony,778,Barbosa,Laura Toro
6873,ACH22,Sony,1126,Sabaneta,Gandalf Toro
4649,ACH22,Sony,569,Medellín,Laura Toro
8647,ACH22,Haceb,1439,Itagui,Dante Builes
2498,ACH22,Sony,1402,Envigado,Camila Builes
884,ACH01,Sony,1370,Medellín,Gandalf Toro
7549,ACH43,Kalley,621,Sabaneta,Yiyo Builes
4501,ACH43,Haceb,1768,Envigado,Laura Toro
5792,ACH01,Kalley,1886,Envigado,Yiyo Builes
3608,ACH22,Haceb,1070,Barbosa,Laura Toro
1364,ACH22,Haceb,1338,Itagui,Dante Builes
4299,ACH22,Kalley,1218,Barbosa,Gandalf Toro
8499,ACH01,Sony,1366,Sabaneta,Dante Builes
7107,ACH43,Sony,1718,Sabaneta,Laura Toro
6413,ACH22,Sony,1977,Itagui,Yiyo Builes
7050,ACH22,Sony,320,Itagui,Dante Builes
6686,ACH01,Haceb,703,Envigado,Camila Builes
6797,ACH01,Kalley,655,Medellín,Gandalf Toro
2477,ACH01,Sony,1685,Envigado,Laura Toro
1201,ACH22,Sony,1316,Sabaneta,Dante Builes
9220,ACH01,Sony,1065,Itagui,Yiyo Builes
3247,ACH22,Sony,1940,Medellín,Camila Builes
9177,ACH43,Haceb,945,Medellín,Camila Builes
3329,ACH22,Kalley,855,Envigado,Dante Builes
4685,ACH22,Haceb,382,Sabaneta,Dante Builes
2771,ACH22,Haceb,1665,Sabaneta,Camila Builes
2572,ACH43,Haceb,862,Envigado,Dante Builes
6490,ACH22,Kalley,281,Sabaneta,Laura Toro
2538,ACH43,Kalley,967,Envigado,Laura Toro
1583,ACH22,Kalley,517,Envigado,Camila Builes
1794,ACH01,Sony,151,Medellín,Gandalf Toro
7748,ACH43,Kalley,579,Sabaneta,Camila Builes
7604,ACH22,Kalley,1480,Barbosa,Laura Toro
8650,ACH43,Sony,477,Envigado,Laura Toro
6469,ACH22,Sony,1334,Sabaneta,Dante Builes
8664,ACH43,Haceb,1160,Envigado,Yiyo Builes
4955,ACH43,Haceb,1855,Medellín,Laura Toro
8886,ACH22,Sony,1292,Envigado,Dante Builes
531,ACH01,Sony,1549,Barbosa,Laura Toro
651,ACH01,Sony,735,Envigado,Dante Builes
7899,ACH43,Haceb,1518,Sabaneta,Gandalf Toro
4342,ACH43,Kalley,1272,Itagui,Dante Builes
3289,ACH22,Haceb,1853,Medellín,Gandalf Toro
738,ACH22,Sony,843,Itagui,Yiyo Builes
3160,ACH22,Sony,688,Sabaneta,Laura Toro
7153,ACH22,Sony,1062,Sabaneta,Laura Toro
3730,ACH01,Kalley,1809,Envigado,Camila Builes
8953,ACH22,Kalley,1601,Barbosa,Camila Builes
6738,ACH01,Sony,1398,Barbosa,Gandalf Toro
4237,ACH22,Haceb,747,Sabaneta,Laura Toro
7410,ACH01,Sony,1038,Itagui,Dante Builes
2873,ACH43,Sony,1864,Sabaneta,Laura Toro
9825,ACH22,Haceb,1424,Barbosa,Camila Builes
6220,ACH22,Sony,881,Medellín,Camila Builes
3645,ACH01,Kalley,173,Medellín,Gandalf Toro
8829,ACH01,Kalley,715,Sabaneta,Yiyo Builes
8995,ACH01,Sony,1817,Barbosa,Camila Builes
2421,ACH43,Sony,905,Sabaneta,Dante Builes
5135,ACH01,Haceb,1499,Envigado,Gandalf Toro
3873,ACH22,Sony,1810,Sabaneta,Laura Toro
600,ACH43,Haceb,1736,Medellín,Dante Builes
6636,ACH22,Kalley,908,Itagui,Gandalf Toro
9943,ACH43,Haceb,114,Envigado,Yiyo Builes
2901,ACH22,Sony,1744,Envigado,Dante Builes
2184,ACH22,Sony,1971,Envigado,Camila Builes
1790,ACH01,Sony,1318,Barbosa,Yiyo Builes
3693,ACH22,Sony,579,Barbosa,Dante Builes
1190,ACH01,Haceb,460,Envigado,Yiyo Builes
2786,ACH43,Haceb,412,Barbosa,Gandalf Toro
9344,ACH01,Sony,1049,Itagui,Camila Builes
2331,ACH43,Haceb,698,Sabaneta,Dante Builes
1518,ACH43,Haceb,1947,Sabaneta,Yiyo Builes
9401,ACH22,Sony,778,Envigado,Camila Builes
2802,ACH22,Haceb,1362,Envigado,Camila Builes
6930,ACH22,Kalley,1697,Medellín,Yiyo Builes
3203,ACH43,Sony,217,Medellín,Laura Toro
957,ACH22,Sony,993,Sabaneta,Gandalf Toro
2572,ACH22,Kalley,1210,Barbosa,Gandalf Toro
8019,ACH01,Sony,924,Barbosa,Yiyo Builes
5318,ACH43,Haceb,192,Barbosa,Gandalf Toro
174,ACH01,Kalley,1607,Sabaneta,Gandalf Toro
4295,ACH01,Sony,239,Barbosa,Camila Builes
8922,ACH01,Haceb,314,Barbosa,Yiyo Builes
1376,ACH43,Haceb,470,Envigado,Yiyo Builes
457,ACH43,Haceb,714,Sabaneta,Laura Toro
5209,ACH22,Sony,483,Itagui,Gandalf Toro
5901,ACH22,Sony,772,Medellín,Gandalf Toro
7413,ACH01,Sony,1304,Envigado,Camila Builes
9957,ACH43,Sony,707,Medellín,Laura Toro
8569,ACH01,Sony,1524,Itagui,Yiyo Builes
2238,ACH43,Sony,191,Itagui,Camila Builes
869,ACH01,Kalley,538,Medellín,Dante Builes
9287,ACH22,Sony,734,Barbosa,Yiyo Builes
3284,ACH01,Kalley,1904,Sabaneta,Gandalf Toro
2548,ACH43,Sony,2000,Barbosa,Camila Builes
2327,ACH01,Kalley,1342,Sabaneta,Laura Toro
5468,ACH43,Kalley,118,Sabaneta,Dante Builes
3136,ACH43,Kalley,1980,Itagui,Dante Builes
5188,ACH43,Haceb,230,Envigado,Laura Toro
9134,ACH43,Sony,938,Barbosa,Yiyo Builes
1514,ACH01,Haceb,944,Itagui,Dante Builes
2939,ACH01,Sony,1222,Barbosa,Camila Builes
6295,ACH22,Sony,1641,Itagui,Yiyo Builes
2750,ACH01,Kalley,660,Envigado,Laura Toro
9131,ACH22,Haceb,437,Barbosa,Yiyo Builes
684,ACH01,Kalley,1509,Barbosa,Laura Toro
5241,ACH43,Kalley,1868,Itagui,Yiyo Builes
7558,ACH01,Sony,1061,Sabaneta,Gandalf Toro
5436,ACH22,Sony,672,Barbosa,Gandalf Toro
7173,ACH43,Haceb,451,Barbosa,Camila Builes
7398,ACH22,Haceb,378,Sabaneta,Gandalf Toro
9983,ACH01,Haceb,674,Envigado,Gandalf Toro
3149,ACH01,Haceb,627,Envigado,Camila Builes
3433,ACH43,Haceb,643,Envigado,Gandalf Toro
9939,ACH43,Haceb,1998,Medellín,Laura Toro
2297,ACH01,Haceb,1474,Itagui,Dante Builes
4053,ACH43,Kalley,1997,Itagui,Gandalf Toro
3918,ACH43,Kalley,689,Barbosa,Yiyo Builes
5438,ACH43,Haceb,1441,Barbosa,Laura Toro
5881,ACH43,Kalley,439,Envigado,Gandalf Toro
2388,ACH01,Haceb,1216,Medellín,Dante Builes
1376,ACH43,Sony,690,Envigado,Laura Toro
6588,ACH01,Sony,1999,Medellín,Dante Builes
861,ACH22,Kalley,404,Medellín,Dante Builes
4929,ACH22,Haceb,1339,Envigado,Yiyo Builes
5786,ACH43,Haceb,288,Envigado,Camila Builes
1376,ACH01,Sony,1471,Envigado,Yiyo Builes
2287,ACH22,Sony,384,Itagui,Laura Toro
3368,ACH43,Haceb,134,Barbosa,Laura Toro
4965,ACH22,Haceb,546,Envigado,Laura Toro
4897,ACH01,Kalley,1852,Medellín,Camila Builes
6333,ACH01,Kalley,356,Barbosa,Yiyo Builes
828,ACH43,Haceb,1772,Medellín,Camila Builes
1208,ACH43,Kalley,1930,Barbosa,Dante Builes
121,ACH43,Sony,171,Envigado,Yiyo Builes
7329,ACH22,Sony,1472,Envigado,Gandalf Toro
2121,ACH43,Kalley,1194,Itagui,Yiyo Builes
2721,ACH01,Sony,932,Envigado,Yiyo Builes
4277,ACH01,Kalley,1170,Barbosa,Camila Builes
7127,ACH01,Sony,1033,Barbosa,Gandalf Toro
1707,ACH01,Haceb,1551,Itagui,Camila Builes
861,ACH01,Kalley,1697,Medellín,Dante Builes
630,ACH22,Kalley,842,Barbosa,Gandalf Toro
2103,ACH43,Kalley,1866,Itagui,Yiyo Builes
6525,ACH01,Kalley,1318,Itagui,Laura Toro
8060,ACH43,Sony,1437,Medellín,Yiyo Builes
6174,ACH01,Haceb,1701,Barbosa,Gandalf Toro
1798,ACH22,Haceb,1689,Medellín,Gandalf Toro
701,ACH01,Kalley,512,Envigado,Gandalf Toro
9010,ACH22,Sony,796,Sabaneta,Yiyo Builes
8449,ACH43,Sony,905,Envigado,Dante Builes
1820,ACH01,Haceb,1053,Medellín,Camila Builes
2502,ACH01,Haceb,587,Envigado,Yiyo Builes
8195,ACH01,Kalley,1775,Barbosa,Gandalf Toro
4178,ACH01,Kalley,646,Envigado,Laura Toro
7645,ACH22,Sony,1933,Medellín,Camila Builes
6090,ACH43,Haceb,492,Medellín,Yiyo Builes
2106,ACH01,Haceb,1350,Barbosa,Yiyo Builes
1868,ACH22,Kalley,260,Sabaneta,Gandalf Toro
1642,ACH22,Sony,150,Medellín,Camila Builes
9563,ACH01,Kalley,458,Itagui,Gandalf Toro
4087,ACH22,Sony,1856,Itagui,Gandalf Toro
8704,ACH01,Sony,890,Sabaneta,Dante Builes
3031,ACH22,Sony,248,Barbosa,Yiyo Builes
3750,ACH01,Haceb,425,Medellín,Gandalf Toro
7752,ACH01,Kalley,1196,Envigado,Dante Builes
4083,ACH22,Haceb,1905,Medellín,Gandalf Toro
1134,ACH01,Kalley,1494,Sabaneta,Camila Builes
6708,ACH22,Haceb,848,Barbosa,Laura Toro
7214,ACH22,Sony,1040,Envigado,Camila Builes
9667,ACH22,Sony,1306,Medellín,Gandalf Toro
1722,ACH43,Sony,508,Itagui,Camila Builes
194,ACH22,Haceb,1770,Barbosa,Dante Builes
3599,ACH01,Kalley,509,Sabaneta,Yiyo Builes
4346,ACH22,Haceb,1268,Envigado,Gandalf Toro
8038,ACH01,Haceb,650,Envigado,Camila Builes
714,ACH43,Sony,1273,Envigado,Laura Toro
9860,ACH43,Kalley,335,Barbosa,Laura Toro
7554,ACH01,Sony,710,Medellín,Gandalf Toro
4357,ACH01,Sony,1672,Medellín,Camila Builes
642,ACH43,Haceb,560,Envigado,Gandalf Toro
4891,ACH43,Haceb,1701,Medellín,Gandalf Toro
3169,ACH01,Kalley,1175,Sabaneta,Laura Toro
108,ACH22,Sony,1474,Itagui,Yiyo Builes
5031,ACH01,Haceb,1596,Barbosa,Gandalf Toro
1428,ACH22,Sony,1749,Barbosa,Dante Builes
4491,ACH22,Kalley,1673,Envigado,Dante Builes
